Network,FamilyName,Alias,FamilyRoleOrder,Instance,VisualSignature,Hook,AttackDesc,Orig1,Orig2,Orig3,Orig4,Fear1,Fear2,Fear3,Ambition1,Ambition2,Ambition3,Loves1,Loves2,Loves3,FamilyLinkType,FamilyLinkDetails,FamilyDynamicType,FamilyDynamicDetail,PartnerDesc,ExtPerson1,ExtPerson2,ExtPerson3,ExtDescription1,ExtDescription2,ExtDescription3
Cunning,Kevin,Max S,2,3,Light-skinned barista with a guarded stare; works late/closing shift. Gloves and scarf hide hand/neck tattoos; a long walking umbrella is always within reach.,"He clocks the exit, the reflections, and the timing—then quietly moves a chair or a sign like he’s just cleaning, but he’s really changing the route.","Uses a sturdy walking umbrella to hook, pry, and strike—snaps it into position, drives the handle through guard lines, and shoves the target back under ‘cover.’","“If you see the wind first, you don’t need to run.” — Max S","Max closes Cafe Royale in the SE District, where the last hour teaches patterns: who lingers, who rushes, and which exits people choose when the street goes quiet.","He did time—nearly two years—before cooperating with authorities. He doesn’t advertise it. He just stays careful, keeps attention low, and covers ink when the public eye gets curious.","His umbrella craft is practical and uncommon: learned from necessity, refined in back alleys and fire-escapes. He’s a listening post in plain sight—and a problem when someone forces close range.",Being recognized from his prison past.,His tattoos getting spotted at the wrong time.,Getting pulled back into someone else’s headline.,Stay clean and invisible long enough to choose his life again.,"Pay off the debt created by his cooperation—through results, not speeches.",Protect the crew without becoming their spotlight.,Quiet late-night shifts,Strong coffee and clean routines,Practical tools that don’t need explaining,Listening Post,"Max provides a low-visibility hub and field practicality—entry routes, ladders, exits, and a steady read on shifting danger.",Shield,"When things get messy, Max makes them survivable—he doesn’t escalate, he repositions.","A skilled cafe barista with her own momentum. Nia Bleu. Financial Journalist. She covers the finance world, unaware her husband is enabling massive fraud.",,,,,,
Cunning,Kevin,Andrew B,2,4,"Cheery, bright-eyed auditor with a too-full dad-bag and a ‘helpful’ smile. Talks fast, compliments faster, and looks busy even when he’s improvising.","He distracts a coworker with upbeat gossip while sliding the team past a risky hallway—like it’s casual, like it’s nothing.","Bursts into a frustrated sprint and slams his overstuffed bag like a wrecking ball—impact first, apology later.","“If we look official enough, nobody asks the wrong questions.” — Andrew B","Andrew is the office-lore router: names, routes, awkward secrets, and ‘don’t-go-there’ warnings. Brock recruits him because he turns rumor into usable intel.",He’s also the crew’s walking supply drawer. Tape? Hairpin? Scratch pad? A snack that becomes a bribe? Andrew’s bag keeps answering ‘yes’—and the running gag is that it could hold a mini fridge (it can’t… probably).,"His optimism isn’t naïve—it’s tactical. He keeps morale light so the team can keep moving, and he keeps the excuses ready so HR and audit never see the seams.",HR/audit flagging the crew.,Being useful only as a joke.,Letting the team down in a real moment.,"Become indispensable (the person everyone needs, even if they deny it).",Keep the crew’s ‘extracurricular’ work from becoming an incident.,Earn a reputation for solving problems without making enemies.,Office lore and weird routines,Being helpful at the exact right time,Carrying the one thing nobody thought to bring,Alibi,"Andrew keeps the group looking legitimate—routes, cover stories, and cheerful distractions that prevent scrutiny.",Router,"He corrects plans mid-stride with ‘gossip intel’—not control, just better lanes.",A executive history professor with her own momentum. Kaye Lovely. Real Estate Broker. She views his job as boring but stable.,,,,,,
Cunning,Kevin,Brock C,2,5,"Sharp-eyed claims analyst with a neat office look and restless focus. When he goes quiet, he’s already building a case file in his head.",He whispers documentary-style commentary to himself—then pins the exact inconsistency everyone else missed from across the room.,Steps in with a compact putter swing that clips the target’s legs—then ‘sinks the putt’ with a final tap that drops them clean.,“Patterns don’t lie. People do.” — Brock C,"Brock is the investigative engine: the nosy center of gravity that turns office boredom into a case file. He chases patterns, not drama.","His golf hobby leaks into field value: uncanny aim with thrown objects, and distance vision that catches details before anyone else can even focus.","He’s serious when it matters. Brock will stall, cover, and search for Danny if Danny vanishes—because he refuses to let the crew get flagged by HR or audit for avoidable sloppiness.",Exposure risk: the crew getting flagged by audit/HR.,Losing the trail right before the answer.,Being forced to abandon a case unfinished.,Close the ‘impossible’ file that proves the pattern is real.,Keep the team safe while staying unofficial.,Turn the mundane into something solvable—every time.,Clean evidence trails,Quiet coffee and late notes,"Golf — quiet greens, deadpan commentary between swings.",Investigator,Brock turns rumors into hypotheses and routes—he keeps the crew’s sleuthing coherent and survivable.,Cover,"He’s the one who takes responsibility when stakes rise—jokes off, shields up.",A executive art director with her own momentum. Eliza Eves. District Attorney. She is the legal firepower keeping Brock's signature out of jail.,,,,,,
Cunning,Kevin,Ramon N,2,6,"Confident, styled IT admin who keeps a hand mirror like it’s part of his identity. Flirty grin, polished posture, and eyes that watch doors while he talks.","He lands a joke, flips the mirror, and in the same motion pops a latch—like the lock never mattered.","Uses a hand mirror like a flat-edged paddle—fast slicing strikes that catch the target off-balance, then a smug reset.","“Look, I’m not hiding. I’m just… choosing my audience.” — Ramon N","Ramon wears a saturated charmer persona on purpose. After too much social noise, he learned that ‘playboy confidence’ keeps people predictable and keeps his real thoughts private.","He’s stealthy in the most ridiculous way: learned backwindow entries and simple lock tricks after a breakup left him locked out more than once. It stuck. Now it’s a tool—used with humor, not pride.","He enters the story as the one who catches the team in the system… and then becomes the system’s social firewall, keeping their movement invisible with access, timing, and plausible digital footprints.",Being boxed in by obligations or expectations.,Someone seeing through the persona and using it against him.,Boredom that turns into reckless choices.,Control the narrative people tell about him.,Be the IT lane that ‘never leaves fingerprints.’,Use charm as camouflage—protect the crew without becoming soft.,Attention on his terms,Sleek gadgets and clean interfaces,Quick escapes and private corners,Firewall,Ramon provides access control and stealth support—he keeps the crew’s movement quiet inside loud systems.,Mask,His charm is camouflage: it distracts people while the team does real work.,A executive private wealth manager with her own momentum. Valerica Steele. Nightclub Owner. She provides him with cash and the chaotic environment he needs to hide his digital tracks.,,,,,,
Cunning,Kevin,Alex L,2,7,"Quiet risk specialist with focused eyes and a restrained posture. Often has a phone open, one earbud in, and a driver’s calm even when things get tense.","He drops a perfectly-timed mistranslation joke in a meeting—then later delivers the precise meaning privately, with zero extra words.","Draws a compact pistol and fires a tight downward burst—forces the target to drop, then takes the angle before they recover.","“Say it clean, or don’t say it at all.” — Alex L","Alex lives in the gap between policy and reality. On paper he’s risk assessment; in practice he’s offshore liaison—timing, phrasing, and coordination with people the team never meets.","He’s sharp but not direct. A language barrier makes him cautious with speech, so he uses office banter to stay human while staying safe. In operations, translation support exists, but it’s rare by design.","From his youth, Alex kept a street-racing habit—fast, controlled driving and surgical parking. When things go wrong, he becomes the exit vector: the one who gets the crew out without turning it into a scene.",Being misquoted into a disaster.,Moving too fast and losing accuracy.,A clean exit becoming a chase.,Prove himself as the most reliable liaison in the building.,Keep the crew alive by keeping the pace clean.,Earn trust without needing to ask for it.,Clean routes and precise timing,Quiet drives — a small habit that keeps them human.,Accurate words — a small habit that keeps them human.,Liaison,"Alex connects the workplace to offshore lanes—he translates intent, manages risk, and drives the clean exit when needed.",Vector,He doesn’t debate in the open; he moves the team through the problem like a driver through corners.,A junior hairdresser with her own momentum. Chloe Temple. Architect. She sees Kevin as an inferior to Alex and encourages his ambition.,,,,,,
Cunning,Kevin,Danny S,2,8,"Sleepy, grumpy office worker with half-lidded eyes and a ‘don’t talk to me’ posture. Often yawns through meetings; always knows where the quiet corners are.","He answers with a flat ‘yeah,’ stifles a yawn… and still reacts first when the hallway changes.","Swings a tenor saxophone in a tight arc, then punctuates the hit with a sharp midnight riff that rattles the target’s balance.",“Quiet is a skill. So is knowing when it’s about to break.” — Danny S,Danny is the office’s most convincing myth: the useless sleepy guy. He leans into it because being ignored is sometimes the safest way to work.,"At night, he flips—cool, stylish, low voice, and connected to a different map of the city. He has contacts and street lore from venues and after-hours routines, not from ‘tough-guy’ posturing.","His awareness is environmental: floor vibration, shifting footsteps, the way sound changes when bodies enter. Mid-plot, when a night crossover puts him at risk, he stops being apathetic and becomes dependable.",Noise invasion (losing his quiet lanes).,Being forced into a spotlight he didn’t choose.,A night contact getting burned because of the crew.,Keep his day and night lives separated—on his terms.,Protect the crew after hours without becoming their ‘leader.’,Turn his corridor-mapping habit into a real advantage—every time.,Quiet corridors,Late-night blues,Being underestimated,Off-Hours Courier,"Danny enables night work—access, contacts, and awareness in the hours when most ‘legit’ people are asleep.",Sensor,He feels danger before it arrives; he doesn’t talk much—he moves first.,A seasoned yoga instructor with her own momentum. Willow Ryder. High-End Corporate Lawyer. She protects him legally from his physical actions.,,,,,,
Opulence,William,Jay P,3,1,"Clean work uniform and steady eyes; moves like inventory is a language—always counting, labeling, and scanning for patterns in people and shelves.",He’s friendly until the questions turn wrong—then you realize he’s been building a wall with paperwork the whole time.,A straight-line rush that turns momentum into impact—he barrels through the lane and clears space like he’s moving product on a deadline.,"“If it moves clean, it lasts. If it’s sloppy, it becomes somebody else’s leverage.”","Jay P runs a high-traffic grocery operation inside Lexena Market—part storefront, part nerve center. He sells reliability, not nostalgia.","He’s a critical connection point between Country Ville supply and city demand. He visits the rural side for contract verification and quality checks, but distance keeps him from running deliveries himself.","Jay reads market shifts fast—who’s buying in bulk, who’s asking the wrong questions, who’s trying to corner a lane. His job is making sure trade stays useful without letting the city own the pipeline.",A rival or politician seizing control of his distribution lane.,A supply disruption that breaks customer trust and rural confidence.,Becoming the scapegoat when the city applies pressure.,"Expand his specialty section into a broader, durable presence.",Become a legitimate city food supplier without losing rural trust.,Build a pipeline strong enough to survive scrutiny and envy.,Inventory discipline and clean systems.,Country Ville quality—seeing the source in person.,Deals that protect dignity on both sides of the bridge.,Outlet,"Jay is the city’s key retail outlet for Country Ville crops and beef, translating rural value into city demand and early warnings.",Trusted Broker,"William relies on Jay’s market knowledge and trustworthiness; Jay balances ethics, optics, and the reality of pressure without making it a spectacle.",He’s engaged to someone who works as gallery owner. She moves comfortably in polished rooms and understands how influence travels without being announced.,,,,,,
Opulence,William,Colton C,3,2,"Red flannel, apron, sleeves rolled; always wiping a counter or checking a pan—plainspoken face, sharp kitchen hands.",He sounds simple until the food hits the table—and suddenly you realize he’s been running the town’s heartbeat the whole time.,"A quick, close-range jab-and-sweep—he turns a hearth tool into a fast control strike, clearing space like he’s managing a crowded line.",“Folks don’t need speeches. They need a plate that makes the day feel possible.”,Colton C is Country Ville’s Country Cook and owner of Country Grill—the place where the town becomes one table.,"Outwardly simple, he has an intuitive culinary gift that turns everyday ingredients into comfort. His steadiness changes the mood of a room faster than any argument.","Because everyone passes through his doors, the Grill doubles as a social hub and message relay. Colton doesn’t chase gossip; he simply notices what the town is becoming.",A mistake that harms a customer or breaks trust.,Losing the Grill and what it represents for the community.,"Becoming replaceable—cold, careless, or forgettable.",Perfect a single complex recipe that proves his craft quietly.,Keep Country Grill as the town’s beloved hub through any change.,Build a financial buffer that protects his home life.,Cooking with clean standards and strong timing.,Seeing people fed and steadied.,Simple honesty—work that speaks for itself.,Hub,Country Grill is the social and communication hub; Colton’s read on morale and local mood becomes actionable signal.,Trusted Constant,William uses Colton’s steadiness as a counterweight to politics; the town trusts Colton because he doesn’t weaponize what he learns.,"His wife works as head waitress. She’s grounded, observant, and far more perceptive than people initially assume.",,,,,,
Opulence,William,Tommy P,3,3,"Hawaiian prints, relaxed posture, calm eyes; moves like vacation but listens like a professional—always behind the counter, always watching.",He looks like he’s avoiding effort—until you realize he’s doing the hardest job: knowing what’s coming and saying it only to the right people.,"A smooth, close-quarters swing that turns bar-side precision into control—he steps in, redirects, and ends the exchange before it starts.",“I don’t need to win loud. I just need the room to stay standing.”,"Tommy P lives in the city and works a beach bar, keeping his life quiet on purpose—salt air, steady shifts, and a mask that never asks questions.","He carries old regrets and a debt of loyalty to William. For the operation, Tommy is a low-noise listening post: he hears city pressure before it takes shape.","He avoids returning to Country Ville, but stays connected through Jay’s pipeline and small updates that let him judge whether rumors are real, bait, or leverage.",Being pulled back into city politics or old entanglements.,"Losing the bar—his calm, his cover, his listening lane.",The wrong person discovering his ties and making him a target.,Find genuine peace and stop living on borrowed calm.,Own a small place of his own where quiet is possible.,Keep his loyalty useful without letting it swallow his life.,Quiet routines and clean workspaces.,The sea—space to breathe without explaining himself.,"Information used for prevention, not drama.",City Eyes,Tommy’s city position gives early access to rumors and low-level political signals that matter to the rural pipeline.,Loyal Debt,Tommy stays reliable because he remembers who helped him when it mattered; he keeps his connection compartmented to remain useful and safe.,He’s dating someone who works as political science professor. She moves comfortably in polished rooms and understands how influence travels without being announced.,,,,,,
Opulence,William,Ridge C,3,4,"Starched Sheriff uniform, mirrored aviators, neat mustache; stiff posture and a slow, methodical stride that makes the whole street feel watched.",He’s a nuisance until you realize his rules are the last thing standing between the county and becoming somebody else’s project.,"A hard stop-and-check—he snaps in close, redirects momentum, and ends the push with a clean baton strike that reads like “comply.”",“A county don’t stay a county by accident. Somebody’s gotta hold the line.”,"Ridge C is Country Ville’s Sheriff and its boundary keeper—more paperwork than patrol lights, more ordinances than speeches.","He grew up knowing Kevin and Sebastian as William’s boys, back when the land felt certain. That history hardened into a belief: if you give ground, you never get it back.","He’s rigid, not cruel. Under pressure he becomes procedural—delays, inspections, citations—turning small rules into a wall when the outside world presses in.",Losing his badge or authority in a political reshuffle.,Urban sprawl swallowing Country Ville’s routines and identity.,Being treated like a joke by “bigger” city powers.,Keep Country Ville’s jurisdiction intact through every rezoning push.,Build a reputation as the Sheriff who never let the county get annexed.,Prove he can protect people without turning the town into a cage.,Local routines and county standards.,"Plain order: clean lanes, clear rules, predictable days.",Being the one who keeps things from getting worse.,Complaint Department,"Ridge is the daily friction layer—he slows outside pressure with ordinances, inspections, and local authority when the county needs time.",One-Sided Friendship,Ridge believes he and William share the same mission against city encroachment; William mostly lets Ridge talk and uses the stability Ridge provides.,His wife works as city council member. She moves comfortably in polished rooms and understands how influence travels without being announced.,,,,,,
Opulence,William,Jason S,3,5,"Silent, imposing, rugged workwear; carries himself like a checklist made human—calm eyes, minimal words, always already prepared.","If Jason says it’s handled, the room believes him—because he doesn’t say it unless it’s true.","A brutal, efficient close-in hit—he turns a repair tool into leverage, cracking stance and balance like he’s fixing a malfunction.","“Keep it steady. Keep it clean. If it breaks, we don’t panic—we solve it.”","Jason S is William’s right hand: operations, security, schedules, and the quiet discipline that makes the ranch function as a system.","He doesn’t lead with speeches. He assigns lanes, checks work, and closes gaps before anyone notices. His calm is operational—refusing to waste motion.","He’s teachable and practical: capable with machinery for minor repairs, humble enough to call specialists for complex work, and trusted with budget voice when William is absent.",A security breach or incident that harms the operation’s stability.,A preventable accident becoming a county-wide crisis.,Carrying too much too long—until the burden turns into sharpness.,Maintain zero major operational failures through the season.,Train the crew into a team that can hold the line without drama.,Keep the ranch strong enough that William’s legacy doesn’t fracture.,Operational readiness and clean routines.,Fixing what’s broken before it becomes a story.,"Loyalty expressed through action, not talk.",Command,"Jason is the operational embodiment of William’s will—coordination, security posture, repair triage, and budget decisions when needed.",Heir,William relies on Jason’s discretion and steadiness; Jason treats the mission as sacrosanct and keeps the ranch from becoming vulnerable.,His wife works as sheriff\'s aide. She brings a steadiness that tempers his more volatile instincts.,,,,,,
Opulence,William,Juan L,3,6,"Work plaid, straw hat, prayer necklace; quiet eyes that soften only when the fields are healthy—hands always checking soil, stalks, or timing.","He’s still here, still working—yet the grief behind his silence is the real fence you have to learn to respect.","He turns the field tool into a snare—hooks, lifts, and controls distance with sharp timing, catching overcommitments mid-air.",“The land don’t lie. People do. So I listen to the land.”,"Juan L is Country Ville’s Agricultural Lead—the Watchman of the Fields responsible for planting windows, yields, storage discipline, and the logic that turns harvest into year-round resilience.","He was once simple yet wise, steady in faith and community. After losing his daughter to an overdose, he stayed functional but withdrew—showing up without truly arriving.",He reports to Jason S and votes against trade out of caution that reads like protection. His arc is learning that Opulence is wise circulation—not surrender.,"Losing Scarlett, his last steady comfort.",A crop or system failure that collapses the ranch’s self-reliance.,His son not returning—another absence that never resolves.,Keep the fields and yield standards worthy of the county’s pride.,Find a way to live with loss without letting it freeze the future.,Help bring his family back into the same room again.,Sunday service and the quiet rituals of faith (before).,"Fieldcraft: soil, seasons, and disciplined schedules.","Small, silent moments with Scarlett that feel like peace.",Yield & Fuel,"Juan manages crop output and the standards that keep the ranch strong—planning, yield control, and the reliability the network runs on.",Sympathy,William respects Juan’s mastery and gives him room; Jason supervises metrics while Juan quietly defends the fields as both duty and refuge.,"His wife works as waitress. She’s grounded, observant, and far more perceptive than people initially assume.",,,,,,
Opulence,William,Adam L,3,7,"Black cowboy hat, athletic build, dust on boots; easy grin and confident stance—charisma that feels harmless until it becomes a town-wide rumor.","He’s lovable trouble: too skilled to replace, too naive to notice the fires his charm starts.","A fast, showy close-in strike that turns swagger into momentum—he vaults in, snaps the opponent’s rhythm, and lands a clean finishing hit.",“I ain’t trying to cause problems… they just keep showing up where I’m standing.”,"Adam L is Country Ville’s Head Rancher, specializing in premium cattle sold to the city. On the job he’s sharp and intuitive—herd timing, routes, and health feel effortless for him.","Off the job, he’s the ‘clueless playboy’—honest, charming, and late to understand consequences. He assumes drama will blow over in a town where nothing ever does.",William tolerates his chaos because his ranching results protect the whole pipeline. Jason keeps Adam grounded to budgets and lanes; Ridge keeps him inside the county’s patience limits.,Getting trapped into a marriage he doesn’t truly want.,His personal drama jeopardizing neighbors’ willingness to sell essential feed.,Being forced into a life that isn’t ranching.,Become the undisputed best ranch hand in the state.,Buy his own independent cattle ranch.,Figure out what people mean when they say he’s ‘too much drama.’,Hard work in open air and honest sweat.,"The herd’s rhythm—movement, health, and clean results.",Being liked (even when he doesn’t deserve it).,Stock,Adam manages the high-value livestock that drives a large portion of the collective’s profit and reputation.,Nuisance,William values Adam’s skill but worries about indiscretion; Jason manages the operational fallout when Adam’s personal life spills into supply decisions.,"He’s dating someone who works as vet assistant. She’s grounded, observant, and far more perceptive than people initially assume.",,,,,,
Opulence,William,Jmac,3,8,"Practical tan work shirt, suspenders, calm gaze; stethoscope and guitar never far—half clinician, half quiet musician.","He speaks little, heals a lot, and somehow keeps the town breathing—one procedure, one song, one steady choice at a time.","A rhythm-driven strike—he uses sound, timing, and a sudden swing to disrupt approach angles and punish aerial overreach.","“If it’s hurt, we fix it. If it’s heavy, we carry it. That’s the job.”",Jmac is Country Ville’s Town Vet—steady hands and professional integrity that keeps the community confident when livestock health becomes livelihood.,"He lives reserved by habit: routines, clean instruments, careful notes. People mistake distance for coldness, but it’s discipline—keeping judgment clear when stakes are living.","He also plays acoustic sets at Country Grill and shows up for festivals. In his mind, well-being is physical *and* communal: sometimes a room needs to breathe again.",A livestock epidemic or clinic failure that harms the county.,Being pressured to compromise ethical standards for convenience or profit.,Staying isolated until loneliness becomes permanent.,"Build a stable, independent clinic standard the town can rely on.",Record and complete a personal acoustic album.,Let himself have a life beyond duty without abandoning it.,Animal health and clean practice.,Acoustic music and quiet evenings.,Community festivals—the town stitched together.,Health,Jmac maintains livestock integrity and trust—health oversight that protects the network’s most valuable assets.,Trust,William relies on Jmac’s honesty; Jason coordinates budgets and schedules; the town depends on Jmac’s calm when things go sideways.,He’s involved with someone who works as real estate heiress. She moves comfortably in polished rooms and understands how influence travels without being announced.,,,,,,
Glamour,Sebastian,Cyrus K,4,1,"Grim-faced, shaved head, suspicious stare; heavy black shop coat—more ledger than smile.","He looks like he hates everyone—until you’re actually buying, and suddenly he’s the best host in Shady Town.",Slams the back door shut on a threat—tight-angle burst that ends the argument fast.,"“You want in, you come correct. You want out, you leave clean.”","Cyrus K runs Guns Storage on the edge of Shady Town: blunt signage, controlled lighting, and a counter that feels like a checkpoint.","Grumpy by default and allergic to nonsense, he still entertains real customers with practiced professionalism—because business is business and control is survival.","To the crew, Cyrus is the gate and the ledger: handoff windows, access discipline, and inventory that never goes missing.",A mundane mistake exposing the storage routes.,A weapon traced back to his shop.,Losing control of the ledger and access discipline.,Keep operations flawless with zero paper trail.,Liquidate clean and vanish without echoes.,Stability so deep his past can’t be dug up.,Perfect ledgers,Quiet routines — a small habit that keeps them human.,Customers who pay and leave,Gate,Controls access and secure handoffs through Guns Storage.,Pragmatist,Sebastian trusts his paranoia and discipline to keep the seam sealed.,A lead manager with her own momentum. Madi.,,,,,,
Glamour,Sebastian,London F,4,2,"Precise, calm movement; pristine chef coat in public, disciplined blade-carry in private; honorable intensity.",He serves lunch like a gentleman—then trains people to survive the moment manners fail.,A formal draw-and-sheath strike—ends the exchange before it becomes a scene.,“Clean work. Clean exits. No noise unless the job demands it.”,"London F holds a quiet cover at MSJ Cafeteria, positioned close enough to watch entrances without ever looking like security.","He’s honorable rather than polite: controlled, disciplined, and sharply protective when the line is crossed.","Off-hours, he doubles as the team’s close-quarters trainer, turning raw aggression into restrained, repeatable technique.",Being forced to draw in a public space and blow cover.,Collateral harm to civilians near the office front.,His discipline eroding under chaotic work.,Mastery of his sword discipline.,Build a training program known for control over conflict.,Earn a clean retirement from the field world.,Discipline — a small habit that keeps them human.,Quiet mastery — a small habit that keeps them human.,Honorable duty — a small habit that keeps them human.,Sentinel,Covert protection and close-quarters training tied to the MSJ front.,Code,"He serves the contract with honor, keeping personal ethics and mission lanes compartmentalized.",A junior hairdresser with her own momentum. Sasha.,,,,,,
Glamour,Sebastian,Ray R,4,3,"Well-groomed full beard; crisp shirt sleeves rolled; tattooed forearm; eyes on hands, not faces.",He’s the calm bartender who never argues—he just decides when you’re done and walks you out.,Closes distance without drama—one quiet finish before alarms become a story.,“Last warning. Then you’re outside.”,"Ray R is stationed at Pub Hemlock in the North District, a room where deals get sloppy and people talk too much.","He maintains a believable routine outside the circle, entering HQ only on mission call or pre-cleared handoff windows.","Ray’s value is pattern memory: who meets whom, what tensions spike, and what names repeat—passed through tight channels, never as gossip.",The past recognizing him first.,A public incident shattering the bar’s quiet order.,Being forced to testify or break silence.,Own the bar outright and keep it stable.,Disappear financially—no dependencies.,A life where his routine is truly safe.,Order behind the bar,Quiet observation,Clean exits — a small habit that keeps them human.,Hub,Pub Hemlock serves as an information and meeting node via controlled handoffs.,Observer,Paid for restraint; keeps the outside routine believable and compartmentalized.,A junior lifeguard with her own momentum. Ava.,,,,,,
Glamour,Sebastian,Danny M,4,4,"Tall, restless scanning eyes; subtly mirrors posture; goes quiet right before something important happens.","People swear he can become anyone after a glance—Danny never confirms it, and that’s the point.","Cuts the feed—suppressed shots from cover, then gone before cameras catch him twice.","“If it feels wrong, it’s wrong. We move.”","Danny M is the team’s surveillance and infiltration specialist—confirmation first, spectacle never.","He speaks in timing and acknowledgements, not opinions; professional among the crew, clipped with outsiders.","He’s used to verify reality: who’s acting, who’s planted, and what ‘small wrong’ will become a big problem.",Total signal/power loss at the wrong moment.,His cover breaking in public.,A loved one stumbling into the wrong truth.,An untraceable communications stack.,Perfect mimicry without tells.,A moment of total certainty.,Patterns — a small habit that keeps them human.,Quiet control — a small habit that keeps them human.,Clean confirmations,Decoy,"Verification, impersonation utility, and surveillance confirmation for operations.",Switch,"Sebastian values his caution; when Danny flags a space, plans change.",A seasoned copy editor with her own momentum. Sadie.,,,,,,
Glamour,Sebastian,Max C,4,5,Immaculate kit; steady gaze; speaks in clear beats; hands stop moving when the plan becomes final.,He looks theatrical until you realize it’s not flair—it’s synchronization.,Redirects momentum into a counter—hooks the mistake and makes it costly.,“On my mark. Two exits. Don’t improvise for ego.”,"Max C runs extractions: getting in, getting out, and keeping the team intact while reality shifts.","He leads with timing, route control, and pressure management—misdirection as a tool, not a performance.","If stealth fails, he doesn’t panic—he reassigns. His talent is making plans survive contact.",A variable breaking the plan at the wrong second.,Public exposure on camera.,A mission choice endangering the team’s cohesion.,Pull off the impossible job clean.,Master disguise and blending.,Secure retirement without loose ends.,Timing — a small habit that keeps them human.,Clean exits — a small habit that keeps them human.,Competence under pressure,Execution,Primary field commander responsible for mission success and extraction control.,Talent,"Given autonomy; judged by delivery, not debate.",A executive theater professor with her own momentum. Asteria.,,,,,,
Glamour,Sebastian,GI J,4,6,"Scarred, perfectly maintained; heavy gloves; level stare; patient economy—no wasted steps.",He looks bored because pressure doesn’t register as drama—only as weather.,One patient shot that punishes exposure—verdict delivered at distance.,“Point. Confirm. Done.”,GI J is the team’s unseen neutralizer—decisive removal and overwatch without spectacle.,"He prefers physical certainty over digital convenience, verifying the real world twice before trusting screens.","Stories chase him—impossible shots, clean disappearances—but the crew’s version is simpler: he leaves luck no job to do.",A physical limitation ruining execution.,Ambiguous orders that create noise.,Being ‘retired’ by becoming unnecessary.,A flawless extraction record.,A quiet retirement with no obligations.,The perfect long-distance shot.,Simple objectives,Well-maintained kit,Silence after completion,Neutralizer,Overwatch and decisive removal when missions compress or turn unpredictable.,Executor,Operates as a paid instrument—trusted for professionalism and follow-through.,"A executive private wealth manager with her own momentum. Valerica. A Private Wealth Manager. She is Ramon N's wife, adding a layer of dangerous Lust to his life.",,,,,,
Glamour,Sebastian,Parker S,4,7,"Energetic, fidgety focus; custom earpiece; bright-eyed; talks like the mission is already solved.","He’s the only one who sounds excited—because to him, signal is a living game you can win.",Twin-tonfa lock-and-stun—stops intruders without shredding base equipment.,“Hold the line—switch channels. I’ve got you.”,"Parker S owns comms discipline: routing, encryption handoffs, and timing calls that keep the machine synchronized.","He can double as a base hacker when needed, but his main job is keeping everyone’s voices and movement from stepping on each other.","In tight corridors he fights base-safe; when pushed outside, he escalates—still focused on protecting infrastructure as much as people.",A system crash at the worst time.,A flaw exposing the whole operation.,Being cut loose for immaturity.,Unbreakable encryption discipline.,Earn trust as more than ‘the kid.’,Build a signal stack that can’t be traced.,Clean comms — a small habit that keeps them human.,Redundancy plans,Winning the dead zone,Signal,"Maintains untraceable comms, routing, and base-side cyber support.",Noise,Valued for capability; kept disciplined to prevent chatter from becoming risk.,A seasoned manager / merchant with her own momentum. Natalie.,,,,,,
Glamour,Sebastian,Thor J,4,8,Massive shoulders; permanent scowl; practical menace; handles dangerous work with controlled delicacy.,He complains like it’s a hobby—then delivers the cleanest part of the job.,Hammer strike that shatters cover and staggers anything hiding behind it.,“Point me at the wall.”,Thor J handles demolitions and hard-entry decisions—where the breach goes and how the exit stays open.,"His default mood is practical irritation, not theater. He hates inefficiency and respects competence.","When pressure hits, he becomes disciplined: measured actions, minimum force that still solves the problem.",A failed detonation ruining the operation.,Running out of tools at the breach moment.,Being left behind by injury.,The perfect controlled breach.,Become a top-tier contractor without liabilities.,Build a quiet life that doesn’t need noise.,Tools that work,Clean breaches — a small habit that keeps them human.,Problems that end,Breach,Provides entry points and obstacle removal regardless of security posture.,Silent Payment,"Paid for results; delivers, grumbles, leaves.",A seasoned lush merchant with her own momentum. April.,,,,,,
Prominence,Dan,Richard G,5,1,"Clean-cut vendor presence; dark tech-uniform jacket, tool clip at the waist, eyes always scanning stock and exits.","When the project stalls, Richard doesn’t argue—he disappears for an hour and returns with the part nobody could find.","Drives a fastener driver into the floor to spark a ricochet burst, then clips the target low with a follow-up sweep—The Late Fee.","“If it’s urgent, it’s expensive. If it’s clean, it’s worth it.”","Richard runs Lexena Market like a quiet machine: repairs, sales, and sourcing done fast and clean. People remember him because the problem stays solved.","He speaks vendor-language fluently—pricing, availability, compatibility, timelines. He’s friendly enough to disarm, sharp enough to never get played.","For Prominence, Richard is the backchannel. He keeps specialty parts and discreet services moving through normal-looking lanes, so progress doesn’t turn into noise.",Supply line seizure,Counterfeit parts,Traceable paper trail,Expand Lexena reach,Be the go-to supplier,Stay independent,Clean tools — a small habit that keeps them human.,Rare components,"Fast, quiet deals",Backchannel Broker,Sources specialty tech and services through normal-looking lanes so the team stays supplied without drawing heat.,Late-Fee Closer,"Closes the deal fast—no speeches, no drama. If it’s late, he makes someone pay the time back.",A executive senior interior architect with her own momentum. Sandy. PR Director. She manages his public image and keeps his arrogance in check.,,,,,,
